language,lat,lon
TnSaek,17.49274,104.55603
TnLuodian,25.42484,106.75141
TnLibo,25.40135,107.84319
TnZhenfeng,25.38557,105.65043
TnHuishui,26.16718,106.78068
TnQianxi,25.09204,104.89546
TnZhenning,26.02281,105.75941
TnPanxian,25.71,104.47153
TnShuicheng,26.5479,104.95783
TnWuming,23.14985,108.27883
TnHengxian,22.67998,109.26147
TnPingguo,23.32933,107.58988
TnLianshan,24.56769,112.08065
TnDuAn,23.93121,108.10555
TnLiujiang,23.85207,109.2091
TnDonglan,24.51071,107.37421
TnQiubei,24.04191,104.19582
TnFengshan,24.54698,107.04221
TnTiandong,23.59723,107.12608
TcYongning,22.75836,108.48737
TcLongAn,23.16588,107.6961
TcFusui,22.63496,107.90411
TcShangsi,22.15369,107.98362
TcQinzhou,21.97969,108.65431
TcDaxin,22.83039,107.20124
TcLongzhou,22.34261,106.85455
TcDebao,23.32339,106.62236
TcWenma,23.3985,104.21505
TcYanshan,23.60585,104.33709
TcCaoBanTai,22.66663,106.26398
TswMangshi,24.44818,98.58214
TswMenglian,22.3291,99.58441
TswJinghong,22.00007,100.77163
TswJinping,22.77965,103.22648
TswYuanyang,23.21998,102.83528
TswWuding,25.53037,102.40442
TswYuanjiang,23.59666,101.99809
TswMaguan,23.01297,104.39387
TswLuchun,22.99345,102.39293
TswJinsha,26.13345,101.84183
TswNgheAn,NA,NA
TswBangkok,13.75633,100.50176
TswKorat,14.88824,102.25479
TswSongkhla,6.88999,100.52961
TswChiangmai,18.79646,98.66005
TswThaiTrang,7.59093,99.63413
TswLao,19.88328,102.13871
TswTaunggyi,20.78875,97.03371
TswHsipaw,22.62363,97.30036
TswKhuen,21.29775,99.56994
TswAiton,25.8639,93.91144
BeLinGaoLC,19.91283,109.73202
BeLinGaoXY,19.88621,109.54175
BeChengmaiMY,19.73505,110.04025
BeChengmaiYL,19.58,110
BeHaikouCL,20.01594,110.20436
BeHaikouRS,19.9,110.2
BeQiongshanLT,19.88855,110.41923
BeQiongshanLQ,19.85497,110.36499
BeJizhao,21.38796,110.86852
KsKamRJ,25.93188,108.52251
KsKamLP,26.32016,109.26149
KsKamJP,26.47877,109.26794
KsKamTZ,26.82609,109.41358
KsJin,25.44674,107.75854
KsMak,25.7915,107.4691
KsMulam,24.7284,108.82323
KsSuiSD,25.98325,107.86971
KsSuiLB,25.41143,107.88725
KsSuiDY,26.25978,107.51867
KsSuiDS,25.82278,107.54578
KsMaonan,24.88298,108.13305
KsThen,25.77762,107.41392
KsChadong,25.23538,109.96578
KsBiao,23.42447,111.51196
KsLakkia,24.13038,110.18942
HlaiBaoding,18.75,109.18
HlaiZhongsha,18.97,108.93
HlaiHeitu,18.30993,109.32039
HlaiXifang,19.04646,108.9392
HlaiChangjiang,19.29827,109.05559
HlaiBaisha,19.22542,109.45167
HlaiYuanmen,19.15807,109.48645
HlaiTongza,18.78066,109.51721
HlaiQiandui,18.90686,110.04076
HlaiBaoting,18.63904,109.70259
HlaiJiamao,18.55455,109.70506
HlaiCun,19.21837,108.70196
HlaiNadou,19.01378,108.6785
KraGelaoMJ,25.18164,106.19473
KraGelaoDF,27.1416,105.613
KraGelaoAS,26.25366,105.9462
KraGelaoZF,25.38557,105.65043
KraBuyangLJ,23.5171,104.96584
KraBuyangYR,23.38014,105.98089
KraBuyangEC,23.60396,106.03058
KraBuyangBH,24.37008,104.9678
KraLaha,22.08688,103.68258
KraLachi,22.73585,104.45486
KraPubiao,23.26119,105.16683
